# Time (hours), RV, -uncertainty, +uncertainty
0.000000000000000000e+00,2.500000000000000000e+01,1.399999999999998579e+00,1.200000000000002842e+00
1.204809600021690130e-01,2.230000000000000426e+01,7.000000000000028422e-01,1.399999999999998579e+00
1.574068799964152277e-01,2.110000000000000142e+01,7.999999999999971578e-01,1.399999999999998579e+00
2.763237599283456802e-01,2.940000000000000568e+01,1.800000000000004263e+00,1.299999999999997158e+00
3.132820799946784973e-01,2.420000000000000284e+01,7.000000000000028422e-01,3.200000000000002842e+00
4.309893599711358547e-01,2.690000000000000568e+01,8.000000000000042633e-01,2.099999999999994316e+00
4.679469598922878504e-01,2.820000000000000284e+01,7.999999999999971578e-01,1.100000000000001421e+00
5.858090399997308850e-01,2.700000000000000000e+01,7.999999999999971578e-01,2.300000000000004263e+00
6.227714399574324489e-01,2.660000000000000142e+01,6.999999999999957367e-01,1.600000000000001421e+00
7.413866400020197034e-01,3.080000000000000426e+01,1.399999999999998579e+00,1.199999999999995737e+00
4.222752002533525229e-02,2.590000000000000568e+01,1.000000000000000000e+00,1.599999999999994316e+00
7.919063995359465480e-02,2.740000000000000568e+01,1.000000000000000000e+00,2.099999999999994316e+00
1.989743998856283724e-01,2.920000000000000284e+01,8.999999999999985789e-01,1.299999999999997158e+00
2.359430399956181645e-01,3.100000000000000000e+01,8.999999999999985789e-01,1.200000000000002842e+00
3.535703999223187566e-01,2.730000000000000426e+01,1.700000000000002842e+00,1.600000000000001421e+00
3.904900799388997257e-01,2.540000000000000568e+01,1.300000000000004263e+00,2.099999999999994316e+00
5.085016799275763333e-01,2.760000000000000142e+01,1.299999999999997158e+00,1.500000000000000000e+00
5.454095999593846500e-01,2.870000000000000284e+01,8.999999999999985789e-01,1.100000000000001421e+00
