,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_period,3.006,0.017,2.974,3.04,0.001,0.001,416.0,500.0,1.0
log_semiamp,6.863,0.317,6.371,7.451,0.024,0.018,295.0,126.0,1.0
log_jitter,-3.074,5.061,-12.889,5.894,0.159,0.113,1004.0,1069.0,1.0
zero_point,0.311,9.82,-19.084,17.274,0.267,0.242,1361.0,1351.0,1.0
period,20.212,0.337,19.575,20.908,0.017,0.012,416.0,500.0,1.0
semiamp,1012.332,427.775,471.42,1568.453,42.915,33.737,295.0,126.0,1.0
ecc,0.537,0.223,0.125,0.928,0.013,0.01,241.0,162.0,1.0
plus,1.001,0.644,0.277,2.362,0.034,0.029,350.0,517.0,1.0
minus,-0.822,0.222,-1.255,-0.45,0.011,0.008,447.0,678.0,1.0
phi,0.179,0.7,-0.743,1.592,0.039,0.029,295.0,619.0,1.0
omega,1.823,0.661,0.912,3.135,0.033,0.026,393.0,570.0,1.0
tperi,0.552,2.239,-2.522,4.929,0.126,0.09,295.0,528.0,1.0
